id,contentdm_id,local_id,permanent_url,creator,date,description,extent,format,issue_number,language,rights,series,spatial,subject,title,type,volume
afdb3440-3536-4a12-badb-e7709fe66c6b,p15957coll13/id/70002,dchnp43006,https://idn.duke.edu/ark:/87924/r47d2w15r,"Chronicle (Durham, N.C.)",1942-10-06,,4 pages,newspapers|periodicals,6,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 6 (Tuesday, October 6, 1942)",Text,39
f8ed9b03-426c-482c-bcad-740706a9a233,p15957coll13/id/70022,dchnp43007,https://idn.duke.edu/ark:/87924/r4d50nh1k,"Chronicle (Durham, N.C.)",1942-10-09,,4 pages,newspapers|periodicals,7,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 7 (Friday, October 9, 1942)",Text,39
a121fb1c-a97e-4997-8b4b-56b7c6357d0e,p15957coll13/id/70044,dchnp43008,https://idn.duke.edu/ark:/87924/r4jh3kd0r,"Chronicle (Durham, N.C.)",1942-10-13,,4 pages,newspapers|periodicals,8,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 8 (Tuesday, October 13, 1942)",Text,39
1cb9d72a-a7aa-4209-9a64-25a305d54812,p15957coll13/id/70007,dchnp43009,https://idn.duke.edu/ark:/87924/r4t72f86j,"Chronicle (Durham, N.C.)",1942-10-16,,4 pages,newspapers|periodicals,9,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 9 (Friday, October 16, 1942)",Text,39
fdb5e5ac-ef20-4973-be5a-6c0c841f4e71,p15957coll13/id/69957,dchnp43010,https://idn.duke.edu/ark:/87924/r48053h9r,"Chronicle (Durham, N.C.)",1942-10-20,,4 pages,newspapers|periodicals,10,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 10 (Tuesday, October 20, 1942)",Text,39
b25c050b-e1d8-455f-af2a-8d5c539043cf,p15957coll13/id/69977,dchnp43011,https://idn.duke.edu/ark:/87924/r4cr5th32,"Chronicle (Durham, N.C.)",1942-10-23,,4 pages,newspapers|periodicals,11,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 11 (Friday, October 23, 1942)",Text,39
49a988eb-8ac1-4f80-bb03-4bccf4be0c66,p15957coll13/id/69992,dchnp43012,https://idn.duke.edu/ark:/87924/r4125ws1h,"Chronicle (Durham, N.C.)",1942-10-27,,4 pages,newspapers|periodicals,12,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 12 (Tuesday, October 27, 1942)",Text,39
c9c2a0e1-995d-4821-bff8-2aa3f7f17f7b,p15957coll13/id/69942,dchnp43013,https://idn.duke.edu/ark:/87924/r4wm18q7t,"Chronicle (Durham, N.C.)",1942-10-30,,4 pages,newspapers|periodicals,13,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 13 (Friday, October 30, 1942)",Text,39
f859e12a-0cf6-425c-b513-fa958ea2fbb5,p15957coll13/id/69962,dchnp43014,https://idn.duke.edu/ark:/87924/r4pg1ps9d,"Chronicle (Durham, N.C.)",1942-11-03,,4 pages,newspapers|periodicals,14,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 14 (Tuesday, November 3, 1942)",Text,39
d4da85d4-abba-4519-a3be-aa8cee520210,p15957coll13/id/69982,dchnp43015,https://idn.duke.edu/ark:/87924/r4tm77s0k,"Chronicle (Durham, N.C.)",1942-11-06,,4 pages,newspapers|periodicals,15,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 15 (Friday, November 6, 1942)",Text,39
f3a2ca91-589c-476b-bc96-927b031bcc1f,p15957coll13/id/70027,dchnp43016,https://idn.duke.edu/ark:/87924/r42b91n0g,"Chronicle (Durham, N.C.)",1942-11-10,,4 pages,newspapers|periodicals,16,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 16 (Tuesday, November 10, 1942)",Text,39
97f69e0d-fcde-4a47-8c74-a116fc23dda1,p15957coll13/id/69947,dchnp43017,https://idn.duke.edu/ark:/87924/r40c4zk4h,"Chronicle (Durham, N.C.)",1942-11-13,,4 pages,newspapers|periodicals,17,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 39, no. 17 (Friday, November 13, 1942)",Text,39
